id_student;fullname;gender;birthday
17000;Huỳnh Minh Hải;Man;2/4/1999
17001;Lê Minh Hải;Man;14/5/1999
17002;Phan Thị Hiền;Woman;12/5/1999
17003;Huỳnh Thị Hiền;Woman;1/6/1999
17004;Công Phương Hạnh;Woman;10/6/1999
17005;Nguyễn Văn Hoàng;Man;2/7/1999
17006;Bùi Thị Hiền;Woman;13/7/1999
17007;Đinh Anh Hạnh;Woman;17/7/1999
17008;Công Văn Hải;Man;29/10/1999
17009;Nguyễn Minh Lộc;Man;12/1/1999
17010;Công Phương Hiền;Woman;11/10/1999
17011;Đinh Đức Tùng;Man;26/9/1999
17012;Cao Anh Hạnh;Woman;23/0/1999
17013;Công Văn Hoàng;Man;5/9/1999
17014;Huỳnh Phương Hạnh;Woman;15/7/1999
17015;Công Thị Chi;Woman;5/6/1999
17016;Huỳnh Thị Chi;Woman;28/10/1999
17017;Phan Văn Hoàng;Man;20/6/1999
17018;Phan Minh Bình;Man;19/11/1999
17019;Bùi Minh Dũng;Man;0/8/1999
17020;Cao Văn Dũng;Man;7/11/1999
17021;Nguyễn Đức Bình;Man;25/11/1999
17022;Vũ Đức Hải;Man;2/6/1999
17023;Bùi Phương Nhung;Woman;20/4/1999
17024;Cao Anh Nhung;Woman;2/0/1999
17025;Nguyễn Minh Lộc;Man;14/11/1999
17026;Phan Văn Sơn;Man;11/9/1999
17027;Đinh Đức Tùng;Man;25/5/1999
17028;Phan Văn Bình;Man;30/10/1999
17029;Bùi Văn Lộc;Man;28/0/1999
17030;Phan Thị Nhung;Woman;10/6/1999
17031;Cao Minh Hải;Man;9/8/1999
17032;Bùi Văn Huy;Man;6/5/1999
17033;Lê Minh Dũng;Man;29/4/1999
17034;Bùi Minh Dũng;Man;22/3/1999
17035;Lê Đức Lộc;Man;1/1/1999
17036;Công Anh Hiền;Woman;1/0/1999
17037;Đinh Văn Hải;Man;14/9/1999
17038;Nguyễn Phương Hồng;Woman;1/4/1999
